generation_idx	max_steps	mean_steps	max_apples	mean_apples	max_score	mean_score
0	57	9.608	1	0.03	194672.0	3789.35
1	200	10.628	1	0.026	8000000.0	35324.046
2	200	14.354	2	0.038	8000000.0	151960.33
3	200	16.626	1	0.022	8000000.0	195094.45
4	200	25.8	1	0.024	8000000.0	571552.818
5	200	29.2	1	0.02	8000000.0	672459.006
6	200	27.528	1	0.01	8000000.0	581687.356
7	200	30.894	1	0.034	8000000.0	750555.902
8	200	34.232	1	0.022	8000000.0	878435.152
9	400	34.558	1	0.024	1.28E8	1112152.82
10	400	35.62	2	0.026	1.28E8	1149753.54
11	200	42.79	1	0.014	8000000.0	1172156.178
12	400	47.35	1	0.022	1.28E8	1872279.278
13	400	64.664	1	0.024	1.28E8	2363485.708
14	400	61.436	1	0.014	1.28E8	2216420.228
15	400	61.672	2	0.036	1.28E8	2249611.002
16	400	78.274	1	0.024	1.28E8	3157338.012
17	400	83.096	2	0.038	1.28E8	3887773.638
18	400	83.264	1	0.028	1.28E8	3891410.87
19	400	82.056	1	0.028	1.28E8	3614470.904
20	400	96.4	2	0.024	1.28E8	4473069.476
21	400	95.374	1	0.026	1.28E8	4616998.156
22	400	94.726	1	0.022	1.28E8	3893616.994
23	600	89.358	2	0.022	8.64E8	5306565.798
24	600	95.0	2	0.032	8.64E8	6193548.824
25	800	100.844	3	0.036	4.096E9	1.2666882706E7
26	600	109.792	2	0.072	8.64E8	1.2185526736E7
27	600	110.252	2	0.09	8.64E8	1.303692896E7
28	600	111.052	2	0.09	8.64E8	1.1933440656E7
29	600	105.842	5	0.108	8.64E8	1.5420011212E7
30	600	105.146	2	0.08	8.64E8	9464807.934
31	600	104.69	2	0.072	8.64E8	1.4114305036E7
32	800	97.714	3	0.092	4.096E9	2.3655436592E7
33	600	103.854	2	0.108	8.64E8	1.4171933752E7
34	800	111.8	3	0.136	4.096E9	3.5832747544E7
35	600	114.814	2	0.116	8.64E8	1.645723481E7
36	800	105.912	3	0.094	4.096E9	2.110046652E7
37	600	97.518	2	0.094	8.64E8	1.1923252936E7
38	600	94.268	2	0.092	8.64E8	9790800.252
39	600	90.176	2	0.076	8.64E8	9019040.042
40	600	78.772	3	0.098	8.64E8	7594852.996
41	600	83.094	2	0.07	8.64E8	8750211.426
42	600	101.382	5	0.116	8.64E8	1.1746302852E7
43	600	98.306	2	0.108	8.64E8	1.125998286E7
44	800	91.06	3	0.098	4.096E9	1.9227645146E7
45	800	100.224	3	0.092	4.096E9	1.6234207706E7
46	600	133.424	2	0.096	8.64E8	1.4302802938E7
47	400	127.956	3	0.07	1.65686944E8	8351798.434
48	400	118.092	2	0.086	1.28E8	8395024.97
49	800	115.074	3	0.058	4.096E9	1.5240604028E7
